"GENERALLEDGERCD","DESCRIPTION","CREATUSERID","CREATDT"
"9173","FY=2017 APPV RATE #3 SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"9174","FY=2017 APPV RATE #4 SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"9175","FY=2017 DISB CONTRA  SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"9176","FY=2017 DISB RATE #1 SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"9177","FY=2017 DISB RATE #2 SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"9178","FY=2017 DISB RATE #3 SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"9179","FY=2017 DISB RATE #4 SUBSIDY AMT","srinib","2014-09-04 10:31:59"
"9670","FY=2017 APPV CONTRA  ZEROSUB AMT","srinib","2014-09-04 10:31:59"
"9671","FY=2017 APPV RATE #1 ZEROSUB AMT","srinib","2014-09-04 10:31:59"
"9675","FY=2017 DISB CONTRA  ZEROSUB AMT","srinib","2014-09-04 10:31:59"
"9676","FY=2017 DISB RATE #1 ZEROSUB AMT","srinib","2014-09-04 10:31:59"
"450 ","Create/add CPC manual receivable","Srini",""
"451 ","Remove/decrease CPC manual receivable","Srini",""
"5135","CARES – Debt Relief Expense","SRINIB","2020-05-19 10:10:04"
"3100","UNEXPENDED APPROPRIATIONS - CUMULATIVE","",""
"8660","FY=2016 DECR CONTRA  ZEROSUB AMT","srinib","2017-05-19 09:23:20"
"8661","FY=2016 DECR RATE #1 ZEROSUB AMT","srinib","2017-05-19 09:23:38"
"8160","FY=2016 DECR CONTRA  SUBSIDY AMT","srinib","2017-05-19 09:27:20"
"8161","FY=2016 DECR RATE #1 SUBSIDY AMT","srinib","2017-05-19 09:27:34"
"8162","FY=2016 DECR RATE #2 SUBSIDY AMT","srinib","2017-05-19 09:27:49"
"8163","FY=2016 DECR RATE #3 SUBSIDY AMT","srinib","2017-05-19 09:28:02"
"8164","FY=2016 DECR RATE #4 SUBSIDY AMT","srinib","2017-05-19 09:28:16"
"9660","FY=2016 APPV CONTRA  ZEROSUB AMT","srinib","2017-05-19 09:30:23"
"9661","FY=2016 APPV RATE #1 ZEROSUB AMT","srinib","2017-05-19 09:30:33"
"9665","FY=2016 DISB CONTRA  ZEROSUB AMT","srinib","2017-05-19 09:30:45"
"9666","FY=2016 DISB RATE #1 ZEROSUB AMT","srinib","2017-05-19 09:30:54"
"9160","FY=2016 APPV CONTRA  SUBSIDY AMT","srinib","2017-05-19 09:33:34"
"9161","FY=2016 APPV RATE #1 SUBSIDY AMT","srinib","2017-05-19 09:33:50"
"9162","FY=2016 APPV RATE #2 SUBSIDY AMT","srinib","2017-05-19 09:34:05"
"9163","FY=2016 APPV RATE #3 SUBSIDY AMT","srinib","2017-05-19 09:34:20"
"9164","FY=2016 APPV RATE #4 SUBSIDY AMT","srinib","2017-05-19 09:34:32"
"9165","FY=2016 DISB CONTRA  SUBSIDY AMT","srinib","2017-05-19 09:34:51"
"9166","FY=2016 DISB RATE #1 SUBSIDY AMT","srinib","2017-05-19 09:35:04"
"9167","FY=2016 DISB RATE #2 SUBSIDY AMT","srinib","2017-05-19 09:35:20"
"9168","FY=2016 DISB RATE #3 SUBSIDY AMT","srinib","2017-05-19 09:35:32"
"9169","FY=2016 DISB RATE #4 SUBSIDY AMT","srinib","2017-05-19 09:35:43"
"1294","GUARANTY REPAIR RECEIVABLE AMT","",""
"9200","FY=2020 APPV CONTRA  SUBSIDY AMT","srinib","2019-10-29 11:16:04"
"9201","FY=2020 APPV RATE #1 SUBSIDY AMT","srinib","2019-10-29 11:16:04"
"9202","FY=2020 APPV RATE #2 SUBSIDY AMT","srinib","2019-10-29 11:16:04"
"9205","FY=2020 DISB CONTRA  SUBSIDY AMT","srinib","2019-10-29 11:16:04"
"9206","FY=2020 DISB RATE #1 SUBSIDY AMT","srinib","2019-10-29 11:16:04"
"9207","FY=2020 DISB RATE #2 SUBSIDY AMT","srinib","2019-10-29 11:16:04"
"9700","FY=2020 APPV CONTRA  ZEROSUB AMT","srinib","2019-10-29 11:16:04"
"9701","FY=2020 APPV RATE #1 ZEROSUB AMT","srinib","2019-10-29 11:16:04"
"9705","FY=2020 DISB CONTRA  ZEROSUB AMT","srinib","2019-10-29 11:16:04"
"9706","FY=2020 DISB RATE #1 ZEROSUB AMT","srinib","2019-10-29 11:16:04"
"8200","FY=2020 DECR CONTRA  SUBSIDY AMT","srinib","2019-10-29 11:16:04"
"8201","FY=2020 DECR RATE #1 SUBSIDY AMT","srinib","2019-10-29 11:16:04"
"8202","FY=2020 DECR RATE #2 SUBSIDY AMT","srinib","2019-10-29 11:16:04"
"8700","FY=2020 DECR CONTRA  ZEROSUB AMT","srinib","2019-10-29 11:16:04"
"8701","FY=2020 DECR RATE #1 ZEROSUB AMT","srinib","2019-10-29 11:16:04"
"1250","CARES Act fee reimbursement receivable","",""
"1251","CARES Act  forgiveness receivable","",""
"1252","CARES Act advance purchase receivable","",""
"5071","CARES Act lender forgiveness – interest expense","",""
"6902","CARES Act processing fee – contra memo","",""
"6903","CARES Act processing fee – paid memo","",""
"6906","CARES Act advance purchase paid memo account contra","",""
"6907","CARES Act advance purchase paid memo account","",""
"8710","FY=2021 DECR CONTRA ZEROSUB AMT","SRINIB","2021-03-16 11:16:04"
"8711","FY=2021 DECR RATE #1 ZEROSUB AMT","SRINIB","2021-03-16 11:16:04"
"9210","FY=2021 APPV CONTRA SUBSIDY AMT","SRINIB","2021-03-16 11:16:04"
"9211","FY=2021 APPV RATE #1 SUBSIDY AMT","SRINIB","2021-03-16 11:16:04"
"9212","FY=2021 APPV RATE #2 SUBSIDY AMT","SRINIB","2021-03-16 11:16:04"
"9213","FY=2021 DISB CONTRA SUBSIDY AMT","SRINIB","2021-03-16 11:16:04"
"9214","FY=2021 DISB RATE #1 SUBSIDY AMT","SRINIB","2021-03-16 11:16:04"
"9215","FY=2021 DISB RATE #2 SUBSIDY AMT","SRINIB","2021-03-16 11:16:04"
"9216","FY=2021 DECR CONTRA SUBSIDY AMT","SRINIB","2021-03-16 11:16:04"
"9217","FY=2021 DECR RATE #1 SUBSIDY AMT","SRINIB","2021-03-16 11:16:04"
"9218","FY=2021 DECR RATE #2 SUBSIDY AMT","SRINIB","2021-03-16 11:16:04"
"9710","FY=2021 APPV CONTRA ZEROSUB AMT","SRINIB","2021-03-16 11:16:04"
"9711","FY=2021 APPV RATE #1 ZEROSUB AMT","SRINIB","2021-03-16 11:16:04"
"9715","FY=2021 DISB CONTRA ZEROSUB AMT","SRINIB","2021-03-16 11:16:04"
"9716","FY=2021 DISB RATE #1 ZEROSUB AMT","SRINIB","2021-03-16 11:16:04"
"2033","HELD FUNDS","",""
"2114","Accounts Payable - Grants","",""
"5100","Grant Expenses/Program Costs","",""
"9190","FY=2019 APPV CONTRA  SUBSIDY AMT","srinib","2018-09-11 11:16:37"
"9191","FY=2019 APPV RATE #1 SUBSIDY AMT","srinib","2018-09-11 11:16:37"
"9192","FY=2019 APPV RATE #2 SUBSIDY AMT","srinib","2018-09-11 11:16:37"
"9195","FY=2019 DISB CONTRA  SUBSIDY AMT","srinib","2018-09-11 11:16:37"
"9196","FY=2019 DISB RATE #1 SUBSIDY AMT","srinib","2018-09-11 11:16:37"
"9197","FY=2019 DISB RATE #2 SUBSIDY AMT","srinib","2018-09-11 11:16:38"
"9690","FY=2019 APPV CONTRA  ZEROSUB AMT","srinib","2018-09-11 11:16:38"
"9691","FY=2019 APPV RATE #1 ZEROSUB AMT","srinib","2018-09-11 11:16:38"
"9695","FY=2019 DISB CONTRA  ZEROSUB AMT","srinib","2018-09-11 11:16:38"
"9696","FY=2019 DISB RATE #1 ZEROSUB AMT","srinib","2018-09-11 11:16:38"
"8190","FY=2019 DECR CONTRA  SUBSIDY AMT","srinib","2018-09-11 11:16:38"
"8191","FY=2019 DECR RATE #1 SUBSIDY AMT","srinib","2018-09-11 11:16:38"
"8192","FY=2019 DECR RATE #2 SUBSIDY AMT","srinib","2018-09-11 11:16:38"
"8690","FY=2019 DECR CONTRA  ZEROSUB AMT","srinib","2018-09-11 11:16:38"
"8691","FY=2019 DECR RATE #1 ZEROSUB AMT","srinib","2018-09-11 11:16:38"
"6904","CARES Forgiveness Paid - Contra Memo","SRINIB","2020-05-19 10:10:04"
"6905","CARES Forgiveness Paid - Paid Memo","SRINIB","2020-05-19 10:10:04"
"2036","CARES Returned Payment – Debt Relief Payable","SRINIB","2020-05-19 10:10:04"
"9220","FY=2022 APPV CONTRA  SUBSIDY AMT","SRINIB","2021-10-06 11:16:04"
"5051","CARES – Forgiveness Credit","SRINIB","2020-05-19 10:10:04"
"9221","FY=2022 APPV RATE #1 SUBSIDY AMT","SRINIB","2021-10-06 11:16:04"
"9222","FY=2022 APPV RATE #2 SUBSIDY AMT","SRINIB","2021-10-06 11:16:04"
"9223","FY=2022 DISB CONTRA  SUBSIDY AMT","SRINIB","2021-10-06 11:16:04"
"9224","FY=2022 DISB RATE #1 SUBSIDY AMT","SRINIB","2021-10-06 11:16:04"
"9225","FY=2022 DISB RATE #2 SUBSIDY AMT","SRINIB","2021-10-06 11:16:04"
"9226","FY=2022 DECR CONTRA  SUBSIDY AMT","SRINIB","2021-10-06 11:16:04"
"9227","FY=2022 DECR RATE #1 SUBSIDY AMT","SRINIB","2021-10-06 11:16:04"
"9228","FY=2022 DECR RATE #2 SUBSIDY AMT","SRINIB","2021-10-06 11:16:04"
"9720","FY=2022 APPV CONTRA  ZEROSUB AMT","SRINIB","2021-10-06 11:16:04"
"9721","FY=2022 APPV RATE #1 ZEROSUB AMT","SRINIB","2021-10-06 11:16:04"
"9725","FY=2022 DISB CONTRA  ZEROSUB AMT","SRINIB","2021-10-06 11:16:04"
"9726","FY=2022 DISB RATE #1 ZEROSUB AMT","SRINIB","2021-10-06 11:16:04"
"8720","FY=2022 DECR CONTRA  ZEROSUB AMT","SRINIB","2021-10-06 11:16:04"
"8721","FY=2022 DECR RATE #1 ZEROSUB AMT","SRINIB","2021-10-06 11:16:04"
